x,y
103.66229444743453, 104046.07884666469
445.82955343913426,105984.71922360933
677.6397754326833,108553.0927716572
843.0768481437799,110800.4112598708
2253.0584356336885,112084.59803389476
4883.852935077771,112726.68584335453
15515.72355923707,112405.64193862463
18783.71879492076,111121.45516460069
20951.495503283753,109676.75759331622
22127.503821429964,108071.51575945795
27529.60213775653,106626.81818817348
28550.36165232265,105663.67531887942
31556.765308136426,105182.12061688899
35845.285529833025,105021.58750941964
37857.25364542033,105182.12061688899
43791.96647064287,105342.64256925399
47099.584196051466,105663.67531887942
53989.481965070496,105663.67531887942
64768.79024129667,105663.67531887942
65958.62974100464,105663.67531887942
78410.68880699654,105663.67531887942
79127.63557791576,105663.67531887942
83568.95563527441,105342.64256925399
85882.31331466392,105342.64256925399
89880.91362688212,105021.58750941964
93213.56030665977,104700.54360468975
97553.58573883996,104700.54360468975
106849.27512067612,104700.54360468975
108812.07295284494,105342.64256925399
119180.5446979343,105984.71922360933
122479.67735693062,106626.81818817348
124729.6898995592,107268.90599763326
129354.2577256663,107429.43910510254
137863.9665640642,107589.96105746753
140396.47777077844,107589.96105746753
144282.89562523965,107589.96105746753
159476.28578212194,108232.03771182292
163890.6354880148,108874.13667638709
165389.15504586126,110158.32345041109
165389.15504586126,111121.45516460069
168427.43601865837,112245.11998625965
169967.44935389428,112887.20779571944
177881.13755990128,113047.74090318885
181148.73699758455,112887.20779571944
184476.52932298442,112405.64193862463
186163.28726403567,111763.54297406047
189583.21269041795,111121.45516460069
191316.51563723796,110479.36735514092
193065.80130916112,109676.75759331622
198410.05792443475,109195.18058111699
198410.05792443475,108553.0927716572
200224.20277406418,108232.03771182292
202054.94929373934,107911.0049621974
202054.94929373934,107589.96105746753
203902.4352124134,107268.90599763326
207648.19510257838,106626.81818817348
213395.9721818389,105824.19727124435
221308.38369479784,105021.58750941964
223331.865981286,104379.49969995987
223331.865981286,104058.45579522998
225373.88118286748,103737.40073539571
227434.58335016097,103737.40073539571
227434.58335016097,104218.97774759495
229513.91787280948,105021.58750941964
229513.91787280948,105984.71922360933
231612.29538493103,107268.90599763326
233730.02196179412,108553.0927716572
233730.02196179412,109195.18058111699
288157.47106903966,109516.22448584686
361784.8235882169,108874.13667638709
392668.2329449378,107911.0049621974
414708.71726944076,106305.77428344365
418500.2169611749,105021.58750941964
479720.3826678906,104058.45579522998
